date,turnover
2025-01-03,0.0
2025-01-10,1.0
2025-01-17,0.5
2025-01-24,1.0
2025-01-31,0.75
2025-02-07,0.6
2025-02-14,0.39999999999999997
2025-02-21,1.0
2025-02-28,1.0
2025-03-07,1.0
2025-03-14,0.75
2025-03-21,0.33333333333333337
2025-03-28,0.8
2025-04-04,1.0
2025-04-11,1.0
2025-04-25,0.9999999999999999
2025-05-02,0.4999999999999999
2025-05-09,0.6
2025-05-16,0.6
2025-05-23,0.9999999999999999
2025-05-30,0.8
2025-06-06,1.0
2025-06-13,0.8
2025-06-20,1.0
2025-06-27,1.0
2025-07-11,0.9999999999999999
2025-07-18,0.9999999999999999
2025-07-25,1.0
2025-08-01,0.8
2025-08-08,0.75
2025-08-15,0.5
2025-08-22,0.2
2025-08-29,0.5999999999999999
2025-09-05,0.6666666666666667
2025-09-12,1.0
2025-09-19,0.6666666666666666
2025-09-26,0.7999999999999999
2025-10-03,0.7999999999999999
2025-10-10,0.9999999999999999
2025-10-17,0.9999999999999999
2025-10-24,0.75
2025-10-31,0.75
2025-11-07,1.0
2025-11-14,0.7999999999999999
2025-11-21,1.0
2025-11-28,0.5
2025-12-05,0.6000000000000001
2025-12-12,0.6
2025-12-19,0.75
2025-12-26,0.75
2026-01-02,0.9999999999999999
2026-01-09,0.6666666666666666
2026-01-16,0.75
2026-01-23,1.0
2026-01-30,1.0
2026-02-06,0.4999999999999999
2026-02-13,0.75
2026-02-20,0.75
2026-02-27,0.75
2026-03-06,1.0
2026-03-13,0.5
2026-03-20,0.0
