date,turnover
2025-01-03,0.0
2025-01-10,0.0
2025-01-17,0.0
2025-01-24,0.0
2025-01-31,1.0
2025-02-07,0.0
2025-02-14,0.0
2025-02-21,0.0
2025-02-28,0.0
2025-03-07,0.0
2025-03-14,0.0
2025-03-21,0.0
2025-03-28,0.0
2025-03-31,0.6000000000000001
2025-04-04,0.0
2025-04-11,0.0
2025-04-25,0.0
2025-04-30,0.9999999999999999
2025-05-02,0.0
2025-05-09,0.0
2025-05-16,0.0
2025-05-23,0.0
2025-05-30,0.0
2025-06-06,0.0
2025-06-13,0.0
2025-06-20,0.0
2025-06-27,0.0
2025-06-30,0.9999999999999999
2025-07-11,0.0
2025-07-18,0.0
2025-07-25,0.0
2025-07-31,0.5
2025-08-01,0.0
2025-08-08,0.0
2025-08-15,0.0
2025-08-22,0.0
2025-08-29,0.0
2025-09-05,0.0
2025-09-12,0.0
2025-09-19,0.0
2025-09-26,0.0
2025-09-30,1.0
2025-10-03,0.0
2025-10-10,0.0
2025-10-17,0.0
2025-10-24,0.0
2025-10-31,1.0
2025-11-07,0.0
2025-11-14,0.0
2025-11-21,0.0
2025-11-28,0.0
2025-12-05,0.0
2025-12-12,0.0
2025-12-19,0.0
2025-12-26,0.0
2025-12-31,1.0
2026-01-02,0.0
2026-01-09,0.0
2026-01-16,0.0
2026-01-23,0.0
2026-01-30,0.0
2026-02-06,0.0
2026-02-13,0.0
2026-02-20,0.0
2026-02-27,0.0
2026-03-06,0.0
2026-03-13,0.0
2026-03-20,0.0
